label,avg_packet_size,inter_packet_interval_ms,packets_per_minute,burstiness
sensor_node,70.32,5063.99,11.85,0.126
sensor_node,71.16,4953.73,12.11,0.0
sensor_node,71.36,5320.94,11.28,0.169
sensor_node,64.07,4667.84,12.85,0.085
sensor_node,75.19,4868.15,12.33,0.176
sensor_node,78.03,5138.24,11.68,0.0
sensor_node,64.78,4619.54,12.99,0.003
sensor_node,71.4,5279.79,11.36,0.0
sensor_node,69.95,5103.81,11.76,0.0
sensor_node,76.71,4995.5,12.01,0.003
sensor_node,75.75,4604.44,13.03,0.155
sensor_node,78.48,4685.27,12.81,0.058
sensor_node,64.22,5366.37,11.18,0.085
sensor_node,61.21,4799.36,12.5,0.185
sensor_node,70.96,5241.13,11.45,0.13
sensor_node,83.71,5076.36,11.82,0.215
sensor_node,81.39,5090.12,11.79,0.146
sensor_node,72.11,5264.46,11.4,0.094
sensor_node,81.53,5194.92,11.55,0.072
sensor_node,66.22,4797.79,12.51,0.121
sensor_node,78.38,5017.04,11.96,0.118
sensor_node,66.59,4661.99,12.87,0.016
sensor_node,66.52,4855.77,12.36,0.092
sensor_node,63.32,4785.01,12.54,0.138
sensor_node,76.95,4651.38,12.9,0.052
sensor_node,73.02,4932.62,12.16,0.0
sensor_node,70.08,5323.87,11.27,0.105
sensor_node,76.69,5285.39,11.35,0.16
sensor_node,69.13,4604.72,13.03,0.036
sensor_node,78.08,5282.76,11.36,0.216
sensor_node,70.06,5198.01,11.54,0.094
sensor_node,74.48,4776.43,12.56,0.0
sensor_node,70.46,4623.22,12.98,0.031
sensor_node,76.3,4923.45,12.19,0.0
sensor_node,71.22,4702.1,12.76,0.117
sensor_node,60.65,4915.22,12.21,0.099
sensor_node,60.65,5114.2,11.73,0.0
sensor_node,71.08,4640.23,12.93,0.044
sensor_node,65.08,4861.48,12.34,0.158
sensor_node,69.1,5201.61,11.53,0.18
sensor_node,66.05,4665.52,12.86,0.0
sensor_node,72.95,5399.93,11.11,0.035
sensor_node,75.6,5224.99,11.48,0.126
sensor_node,78.1,5359.69,11.19,0.0
sensor_node,60.49,4721.91,12.71,0.0
sensor_node,76.07,5051.18,11.88,0.0
sensor_node,76.79,5213.52,11.51,0.0
sensor_node,74.57,5198.34,11.54,0.0
sensor_node,79.66,5371.78,11.17,0.0
sensor_node,60.62,4849.57,12.37,0.133
sensor_node,83.0,4917.32,12.2,0.145
sensor_node,61.82,5152.49,11.64,0.118
sensor_node,62.45,5217.98,11.5,0.185
sensor_node,74.41,4696.84,12.77,0.225
sensor_node,78.78,4877.76,12.3,0.059
sensor_node,68.89,5004.77,11.99,0.032
sensor_node,80.39,5257.86,11.41,0.0
sensor_node,83.06,5108.47,11.75,0.179
sensor_node,76.98,4948.39,12.13,0.15
sensor_node,83.17,4816.07,12.46,0.172
sensor_node,72.92,4986.8,12.03,0.061
sensor_node,77.54,4814.72,12.46,0.186
sensor_node,79.94,4669.33,12.85,0.194
sensor_node,65.85,4971.77,12.07,0.113
sensor_node,69.1,4622.96,12.98,0.185
sensor_node,64.36,4769.7,12.58,0.169
sensor_node,68.17,5304.26,11.31,0.14
sensor_node,66.63,4608.12,13.02,0.214
sensor_node,62.05,5176.06,11.59,0.077
sensor_node,78.2,5152.49,11.64,0.124
sensor_node,71.78,5234.35,11.46,0.0
sensor_node,65.32,5153.43,11.64,0.022
sensor_node,73.96,4978.61,12.05,0.089
sensor_node,70.21,5196.75,11.55,0.029
sensor_node,76.87,4816.73,12.46,0.005
sensor_node,62.9,4754.07,12.62,0.0
sensor_node,72.86,5209.75,11.52,0.0
sensor_node,65.19,4987.36,12.03,0.147
sensor_node,83.44,5019.71,11.95,0.015
sensor_node,62.41,4755.29,12.62,0.0
sensor_node,64.31,4611.32,13.01,0.09
sensor_node,66.58,5379.44,11.15,0.096
sensor_node,76.74,4701.02,12.76,0.191
sensor_node,71.78,5298.18,11.32,0.102
sensor_node,71.27,4952.38,12.12,0.0
sensor_node,61.23,5352.85,11.21,0.073
sensor_node,79.73,4920.57,12.19,0.0
sensor_node,75.11,4642.89,12.92,0.0
sensor_node,73.51,4843.07,12.39,0.228
sensor_node,62.84,5211.55,11.51,0.112
sensor_node,78.98,4780.55,12.55,0.087
sensor_node,70.81,4954.18,12.11,0.188
sensor_node,83.76,4844.3,12.39,0.116
sensor_node,74.63,5192.07,11.56,0.214
sensor_node,64.99,4768.82,12.58,0.128
sensor_node,63.77,4739.05,12.66,0.0
sensor_node,60.06,4960.4,12.1,0.108
sensor_node,66.99,4785.18,12.54,0.142
sensor_node,76.87,4963.23,12.09,0.136
sensor_node,82.17,5230.26,11.47,0.118
sensor_node,75.87,5346.93,11.22,0.058
sensor_node,73.07,5118.11,11.72,0.203
sensor_node,79.84,4657.13,12.88,0.0
sensor_node,67.38,5199.17,11.54,0.101
sensor_node,66.93,4699.48,12.77,0.137
sensor_node,76.79,5354.14,11.21,0.08
sensor_node,71.85,4664.35,12.86,0.0
sensor_node,70.37,4857.86,12.35,0.005
sensor_node,62.19,5369.53,11.17,0.181
sensor_node,73.8,5360.63,11.19,0.23
sensor_node,76.13,4815.61,12.46,0.0
sensor_node,78.15,4976.4,12.06,0.125
sensor_node,81.99,4745.19,12.64,0.106
sensor_node,75.23,4993.38,12.02,0.0
sensor_node,68.35,4866.65,12.33,0.131
sensor_node,80.59,4863.84,12.34,0.138
sensor_node,66.92,5356.15,11.2,0.174
sensor_node,73.2,4963.86,12.09,0.024
sensor_node,67.76,5376.15,11.16,0.051
sensor_node,72.35,5390.5,11.13,0.127
sensor_node,73.02,4930.6,12.17,0.0
sensor_node,68.68,5205.15,11.53,0.118
sensor_node,78.24,4762.85,12.6,0.095
sensor_node,82.26,4950.49,12.12,0.139
sensor_node,62.91,5378.52,11.16,0.113
sensor_node,65.74,4726.7,12.69,0.095
sensor_node,73.25,4674.57,12.84,0.228
sensor_node,81.91,4969.16,12.07,0.0
sensor_node,79.97,4998.7,12.0,0.145
sensor_node,72.21,4818.74,12.45,0.18
sensor_node,83.53,4794.98,12.51,0.095
sensor_node,69.21,5337.49,11.24,0.082
sensor_node,81.1,5291.22,11.34,0.013
sensor_node,78.96,4931.95,12.17,0.21
sensor_node,72.19,5256.44,11.41,0.015
sensor_node,67.17,5069.55,11.84,0.23
sensor_node,71.75,4718.88,12.71,0.092
sensor_node,68.28,5041.53,11.9,0.093
sensor_node,70.93,4857.42,12.35,0.0
sensor_node,76.74,5057.44,11.86,0.0
sensor_node,78.61,4634.92,12.95,0.153
sensor_node,76.93,5249.13,11.43,0.046
sensor_node,75.93,5256.6,11.41,0.224
sensor_node,71.89,4629.62,12.96,0.081
sensor_node,74.16,5295.76,11.33,0.192
sensor_node,70.57,5020.76,11.95,0.067
sensor_node,77.34,4927.98,12.18,0.126
sensor_node,63.7,4975.59,12.06,0.221
sensor_node,68.13,5154.16,11.64,0.125
sensor_node,80.44,5281.87,11.36,0.188
sensor_node,69.12,4853.33,12.36,0.146
sensor_node,78.23,5297.91,11.33,0.0
sensor_node,61.64,5104.93,11.75,0.206
sensor_node,83.94,5197.41,11.54,0.06
sensor_node,62.36,5107.0,11.75,0.192
sensor_node,70.65,5155.2,11.64,0.201
sensor_node,61.1,5236.91,11.46,0.018
sensor_node,69.0,4716.46,12.72,0.089
sensor_node,73.58,5234.02,11.46,0.0
sensor_node,61.9,5296.67,11.33,0.116
sensor_node,65.78,5330.26,11.26,0.0
sensor_node,71.07,4803.18,12.49,0.007
sensor_node,60.23,5243.71,11.44,0.2
sensor_node,76.26,4726.38,12.69,0.063
sensor_node,68.29,5070.06,11.83,0.122
sensor_node,70.18,4800.08,12.5,0.184
sensor_node,64.78,4907.75,12.23,0.075
sensor_node,65.69,5057.54,11.86,0.102
sensor_node,83.82,4836.18,12.41,0.223
sensor_node,75.8,4819.58,12.45,0.1
sensor_node,76.46,5195.74,11.55,0.0
sensor_node,74.55,4997.38,12.01,0.201
sensor_node,66.87,5239.09,11.45,0.112
sensor_node,68.46,5109.29,11.74,0.116
sensor_node,76.27,5176.74,11.59,0.128
sensor_node,80.12,5102.6,11.76,0.201
sensor_node,75.51,4847.15,12.38,0.062
sensor_node,73.91,5185.89,11.57,0.0
sensor_node,67.08,5197.98,11.54,0.0
sensor_node,63.17,5031.53,11.92,0.221
sensor_node,72.74,5330.79,11.26,0.179
sensor_node,66.17,5259.75,11.41,0.075
sensor_node,79.36,5197.25,11.54,0.032
sensor_node,62.76,5370.31,11.17,0.0
sensor_node,83.2,5288.11,11.35,0.147
sensor_node,83.52,5373.82,11.17,0.171
sensor_node,68.78,5232.55,11.47,0.0
sensor_node,72.88,4963.83,12.09,0.132
sensor_node,76.14,5067.65,11.84,0.177
sensor_node,82.57,4686.68,12.8,0.0
sensor_node,60.6,5307.39,11.3,0.098
sensor_node,81.97,4777.09,12.56,0.0
sensor_node,79.77,5327.51,11.26,0.021
sensor_node,69.8,4711.82,12.73,0.214
sensor_node,67.3,4994.1,12.01,0.0
sensor_node,81.29,4708.53,12.74,0.066
sensor_node,76.09,5194.51,11.55,0.214
sensor_node,70.06,5193.82,11.55,0.0
sensor_node,69.96,4679.22,12.82,0.077
sensor_node,69.79,5361.22,11.19,0.0
sensor_node,68.89,4954.71,12.11,0.215
sensor_node,80.53,4679.48,12.82,0.136
sensor_node,73.07,5382.27,11.15,0.038
sensor_node,69.56,4751.85,12.63,0.0
sensor_node,80.35,4963.77,12.09,0.129
sensor_node,75.4,5077.72,11.82,0.0
sensor_node,78.88,4794.86,12.51,0.0
sensor_node,73.55,4654.89,12.89,0.16
sensor_node,64.97,4772.76,12.57,0.191
sensor_node,67.89,4718.04,12.72,0.2
sensor_node,60.07,5286.72,11.35,0.0
sensor_node,63.12,4800.52,12.5,0.0
sensor_node,75.87,4620.62,12.99,0.0
sensor_node,78.96,4790.35,12.53,0.027
sensor_node,64.18,4641.92,12.93,0.153
sensor_node,72.63,5196.53,11.55,0.073
sensor_node,78.67,5010.59,11.97,0.0
sensor_node,72.09,5356.33,11.2,0.0
sensor_node,78.8,5293.58,11.33,0.086
sensor_node,70.99,5371.22,11.17,0.0
sensor_node,71.5,4921.29,12.19,0.136
sensor_node,71.77,5327.76,11.26,0.0
sensor_node,61.94,5086.64,11.8,0.0
sensor_node,66.6,5106.46,11.75,0.095
sensor_node,67.8,5395.7,11.12,0.089
sensor_node,70.89,5084.34,11.8,0.0
sensor_node,76.84,5282.23,11.36,0.125
sensor_node,78.46,5176.67,11.59,0.0
sensor_node,70.84,4782.79,12.54,0.032
sensor_node,70.88,4932.79,12.16,0.0
sensor_node,70.24,5132.09,11.69,0.042
sensor_node,63.66,5338.39,11.24,0.0
sensor_node,79.96,4674.58,12.84,0.0
sensor_node,77.73,5249.42,11.43,0.097
sensor_node,74.08,5049.27,11.88,0.029
sensor_node,62.93,4882.88,12.29,0.13
sensor_node,78.01,5294.47,11.33,0.146
sensor_node,83.24,5080.33,11.81,0.035
sensor_node,73.87,4770.19,12.58,0.127
sensor_node,65.38,4686.57,12.8,0.184
sensor_node,68.82,5210.08,11.52,0.102
sensor_node,79.37,5276.12,11.37,0.222
sensor_node,79.64,5090.86,11.79,0.123
sensor_node,60.63,5343.27,11.23,0.179
sensor_node,66.42,4744.33,12.65,0.141
sensor_node,67.42,4871.86,12.32,0.0
sensor_node,80.88,5053.06,11.87,0.05
sensor_node,63.4,5106.54,11.75,0.0
sensor_node,77.91,4772.11,12.57,0.056
sensor_node,68.18,4896.04,12.25,0.146
sensor_node,78.64,5054.07,11.87,0.0
sensor_node,61.26,4725.93,12.7,0.115
sensor_node,76.18,4817.68,12.45,0.129
sensor_node,71.66,4953.64,12.11,0.012
sensor_node,78.12,4691.05,12.79,0.059
sensor_node,66.8,5142.79,11.67,0.076
sensor_node,76.01,4636.33,12.94,0.049
sensor_node,74.38,4606.15,13.03,0.02
sensor_node,65.07,4709.79,12.74,0.007
sensor_node,67.87,4606.18,13.03,0.154
sensor_node,64.22,4904.17,12.23,0.141
sensor_node,72.01,5266.68,11.39,0.172
sensor_node,61.73,5289.41,11.34,0.0
sensor_node,60.45,5336.93,11.24,0.189
sensor_node,73.82,5058.72,11.86,0.143
sensor_node,70.02,4692.14,12.79,0.0
sensor_node,67.79,5241.06,11.45,0.115
sensor_node,79.97,5335.82,11.24,0.0
sensor_node,80.27,4794.65,12.51,0.107
sensor_node,72.58,4916.61,12.2,0.023
sensor_node,68.15,4866.45,12.33,0.0
sensor_node,72.25,4691.22,12.79,0.083
sensor_node,81.74,4879.5,12.3,0.148
sensor_node,79.65,5252.03,11.42,0.001
sensor_node,63.51,4757.82,12.61,0.111
sensor_node,78.25,5124.41,11.71,0.0
sensor_node,78.55,4995.29,12.01,0.156
sensor_node,78.24,4959.12,12.1,0.207
sensor_node,73.55,5108.24,11.75,0.117
sensor_node,80.74,5101.77,11.76,0.0
sensor_node,61.64,4953.77,12.11,0.021
sensor_node,66.59,4644.94,12.92,0.082
sensor_node,67.45,4961.53,12.09,0.0
sensor_node,79.96,4661.38,12.87,0.189
sensor_node,80.53,5092.01,11.78,0.082
sensor_node,71.11,5043.45,11.9,0.168
sensor_node,81.5,4959.79,12.1,0.173
sensor_node,75.64,4857.22,12.35,0.073
sensor_node,63.62,4649.5,12.9,0.0
sensor_node,81.58,4874.75,12.31,0.144
sensor_node,72.11,4738.05,12.66,0.004
sensor_node,70.51,4951.54,12.12,0.087
sensor_node,63.81,4898.28,12.25,0.015
sensor_node,69.81,4870.69,12.32,0.109
sensor_node,78.94,5117.84,11.72,0.0
sensor_node,62.27,5142.7,11.67,0.015
sensor_node,77.37,5125.25,11.71,0.202
sensor_node,80.96,4866.69,12.33,0.105
sensor_node,63.39,4879.86,12.3,0.22
sensor_node,76.76,4913.57,12.21,0.109
sensor_node,82.51,4847.67,12.38,0.043
sensor_node,79.0,5250.55,11.43,0.131
sensor_node,79.9,5191.02,11.56,0.136
sensor_node,72.63,5116.82,11.73,0.057
sensor_node,68.68,4890.08,12.27,0.0
sensor_node,65.14,5358.13,11.2,0.076
sensor_node,65.44,4710.05,12.74,0.0
sensor_node,80.27,4680.91,12.82,0.161
sensor_node,80.04,5306.95,11.31,0.0
sensor_node,68.08,5213.05,11.51,0.0
sensor_node,69.04,4729.8,12.69,0.179
sensor_node,78.51,5247.23,11.43,0.0
sensor_node,70.5,4928.69,12.17,0.133
sensor_node,65.7,4955.36,12.11,0.015
sensor_node,77.96,4959.14,12.1,0.09
sensor_node,67.43,5246.9,11.44,0.071
sensor_node,80.04,4894.27,12.26,0.214
sensor_node,83.63,4969.34,12.07,0.015
sensor_node,69.16,5021.97,11.95,0.22
sensor_node,79.61,5241.01,11.45,0.0
sensor_node,66.0,5112.94,11.73,0.192
sensor_node,73.31,4682.07,12.81,0.184
sensor_node,80.43,4828.05,12.43,0.159
sensor_node,66.55,5324.24,11.27,0.0
sensor_node,70.5,5357.13,11.2,0.0
sensor_node,70.83,4879.67,12.3,0.0
sensor_node,61.28,5001.61,12.0,0.001
sensor_node,83.87,4899.93,12.25,0.0
sensor_node,82.34,5271.34,11.38,0.125
sensor_node,78.99,4710.08,12.74,0.016
sensor_node,79.91,5156.86,11.63,0.0
sensor_node,76.93,4958.88,12.1,0.0
sensor_node,61.9,4804.74,12.49,0.18
sensor_node,73.17,5181.79,11.58,0.088
sensor_node,62.67,4830.48,12.42,0.02
sensor_node,61.15,4935.86,12.16,0.168
sensor_node,70.97,4688.69,12.8,0.202
sensor_node,74.32,4613.15,13.01,0.085
sensor_node,65.81,4714.86,12.73,0.059
sensor_node,74.76,4792.45,12.52,0.055
sensor_node,75.94,4668.49,12.85,0.222
sensor_node,61.62,5020.85,11.95,0.082
sensor_node,83.72,5043.32,11.9,0.047
sensor_node,71.28,5108.54,11.75,0.224
sensor_node,66.09,4612.99,13.01,0.167
sensor_node,68.28,5186.35,11.57,0.118
sensor_node,78.52,5188.15,11.56,0.03
sensor_node,61.06,5036.81,11.91,0.174
sensor_node,64.2,5223.31,11.49,0.069
sensor_node,76.69,5105.39,11.75,0.173
sensor_node,61.51,5220.95,11.49,0.067
sensor_node,67.04,4635.05,12.94,0.0
sensor_node,61.01,5346.7,11.22,0.085
sensor_node,83.74,5034.42,11.92,0.006
sensor_node,78.08,4752.88,12.62,0.037
sensor_node,78.74,5292.64,11.34,0.03
sensor_node,62.99,4894.42,12.26,0.197
sensor_node,77.84,5315.71,11.29,0.046
sensor_node,83.37,4996.96,12.01,0.079
sensor_node,82.18,5015.42,11.96,0.17
sensor_node,77.45,4663.14,12.87,0.111
sensor_node,79.74,5036.38,11.91,0.026
sensor_node,61.92,5128.74,11.7,0.022
sensor_node,74.46,4940.89,12.14,0.137
sensor_node,68.44,4633.88,12.95,0.191
sensor_node,68.46,5398.52,11.11,0.012
sensor_node,83.52,5358.32,11.2,0.0
sensor_node,75.3,4890.65,12.27,0.17
camera_stream,1264.59,40.24,1490.88,0.133
camera_stream,1238.73,37.5,1599.96,0.1
camera_stream,1044.2,37.46,1601.87,0.2
camera_stream,1157.83,34.08,1760.77,0.272
camera_stream,1264.46,40.18,1493.24,0.202
camera_stream,1294.71,34.18,1755.27,0.249
camera_stream,1163.29,35.39,1695.25,0.165
camera_stream,1060.84,36.77,1631.73,0.24
camera_stream,1159.32,33.99,1765.39,0.169
camera_stream,1113.7,32.14,1866.81,0.389
camera_stream,1122.81,39.66,1512.72,0.237
camera_stream,1064.15,38.65,1552.59,0.226
camera_stream,1343.52,32.12,1867.89,0.116
camera_stream,1265.49,38.53,1557.3,0.186
camera_stream,1145.07,26.04,2304.23,0.253
camera_stream,1340.88,38.62,1553.53,0.304
camera_stream,1353.84,35.2,1704.39,0.328
camera_stream,1203.15,26.94,2227.02,0.15
camera_stream,1070.0,37.65,1593.8,0.098
camera_stream,1219.45,30.9,1941.59,0.331
camera_stream,1218.59,34.79,1724.58,0.116
camera_stream,1131.34,40.99,1463.65,0.306
camera_stream,1209.25,37.31,1608.29,0.337
camera_stream,1046.55,40.56,1479.36,0.283
camera_stream,1181.99,35.88,1672.16,0.193
camera_stream,1336.07,37.48,1600.67,0.282
camera_stream,1085.51,40.46,1482.94,0.22
camera_stream,1347.86,25.89,2317.8,0.127
camera_stream,1075.09,27.63,2171.2,0.187
camera_stream,1275.36,30.54,1964.87,0.372
camera_stream,1342.17,38.53,1557.03,0.165
camera_stream,1248.62,33.81,1774.44,0.128
camera_stream,1129.02,33.54,1789.14,0.241
camera_stream,1080.71,40.07,1497.54,0.136
camera_stream,1257.14,36.53,1642.48,0.272
camera_stream,1323.31,34.02,1763.78,0.338
camera_stream,1030.21,25.73,2332.14,0.282
camera_stream,1227.64,35.42,1694.05,0.32
camera_stream,1169.97,35.22,1703.39,0.239
camera_stream,1245.78,29.63,2024.65,0.377
camera_stream,1193.86,37.88,1584.16,0.295
camera_stream,1127.08,26.17,2292.91,0.108
camera_stream,1178.26,32.75,1832.17,0.151
camera_stream,1238.4,30.0,1999.91,0.306
camera_stream,1284.31,38.77,1547.49,0.383
camera_stream,1067.08,30.93,1939.95,0.258
camera_stream,1134.88,32.46,1848.23,0.17
camera_stream,1109.25,26.55,2259.97,0.177
camera_stream,1158.29,34.85,1721.86,0.164
camera_stream,1331.51,27.56,2177.45,0.188
camera_stream,1227.97,30.0,1999.77,0.319
camera_stream,1199.38,33.24,1805.29,0.24
camera_stream,1131.07,25.37,2364.92,0.374
camera_stream,1201.96,40.47,1482.69,0.155
camera_stream,1147.04,25.81,2324.8,0.238
camera_stream,1337.64,35.47,1691.66,0.231
camera_stream,1213.21,38.55,1556.23,0.219
camera_stream,1337.68,36.64,1637.55,0.319
camera_stream,1151.74,31.41,1910.26,0.261
camera_stream,1090.08,33.85,1772.44,0.112
camera_stream,1201.53,37.23,1611.58,0.174
camera_stream,1376.07,35.89,1671.94,0.126
camera_stream,1371.03,31.3,1916.78,0.328
camera_stream,1142.07,40.02,1499.13,0.316
camera_stream,1091.66,33.15,1810.18,0.24
camera_stream,1036.31,27.19,2206.48,0.19
camera_stream,1190.55,32.31,1856.91,0.272
camera_stream,1205.58,30.25,1983.64,0.274
camera_stream,1078.5,40.85,1468.79,0.312
camera_stream,1127.72,30.38,1974.86,0.338
camera_stream,1211.64,36.34,1651.08,0.18
camera_stream,1313.67,30.89,1942.14,0.292
camera_stream,1372.76,34.34,1747.27,0.329
camera_stream,1281.12,36.01,1666.26,0.098
camera_stream,1190.85,40.47,1482.46,0.325
camera_stream,1299.42,34.24,1752.23,0.306
camera_stream,1230.07,27.73,2163.86,0.279
camera_stream,1243.1,38.46,1560.12,0.134
camera_stream,1265.06,25.51,2352.47,0.374
camera_stream,1059.56,25.3,2371.26,0.184
camera_stream,1074.52,36.05,1664.45,0.213
camera_stream,1298.99,39.73,1510.26,0.352
camera_stream,1284.9,26.0,2308.0,0.131
camera_stream,1094.64,30.2,1986.7,0.289
camera_stream,1209.17,30.02,1998.66,0.142
camera_stream,1348.36,30.48,1968.68,0.196
camera_stream,1297.92,36.53,1642.27,0.283
camera_stream,1269.59,34.76,1726.06,0.148
camera_stream,1108.75,33.93,1768.38,0.157
camera_stream,1370.25,29.76,2016.0,0.177
camera_stream,1094.62,36.28,1653.81,0.185
camera_stream,1145.57,39.94,1502.28,0.329
camera_stream,1118.44,26.95,2226.35,0.293
camera_stream,1156.69,40.68,1474.83,0.336
camera_stream,1363.66,37.87,1584.21,0.177
camera_stream,1123.55,36.43,1647.16,0.194
camera_stream,1179.26,29.1,2061.64,0.234
camera_stream,1092.74,33.62,1784.8,0.37
camera_stream,1270.62,27.2,2206.18,0.275
camera_stream,1231.26,28.88,2077.61,0.291
camera_stream,1211.17,35.21,1704.2,0.106
